便利,Тохиромжтой,べんり
大丈夫,чи зүгээр үү,だいじょうぶ
大好き,үнэхээр адилхан,だいすき
元気,сайн,げんき
下手,ядуу,げしゅ
暇,үнэгүй,ひま
本当,Жинхнээсээ,ほんとう
色々,янз бүрийн,いろいろ
嫌,үзэн ядах,いや
丈夫,бат бөх,じょうふ
上手,сайн,じょうて
結構,маш сайн,けっこう
嫌い,Үзэн ядах,きらい
綺麗,хөөрхөн,きれい
真っ直ぐ,Чигээрээ,まっすぐ
賑やか,завгүй,にぎやか
立派,зүгээр,りっぱ
静か,чимээгүй,しずか
好き,Дуртай,すき
多分,магадгүй,たぶん
大変,хэцүү,たいへん
大切,чухал,たいせつ
沢山,Лот,たくさん
有名,Алдартай,ゆうめい
危ない,Аюултай,あぶない
赤い,улаан,あかい
明るい,тод,あかるい
甘い,чихэрлэг,あまい
青い,цэнхэр,あおい
新しい,шинэ,あたらしい
暖かい,дулаахан,あたたかい
厚い,зузаан,あつい
暑い,халуун,あつい
熱い,халуун,あつい
便利,Тохиромжтой,べんり
小さい,жижиг,ちいさい
近い,ойролцоо,ちかい
大丈夫,чи зүгээр үү,だいじょうぶ
大好き,үнэхээр адилхан,だいすき
古い,хуучин,ふるい
太い,зузаан,ふとい
元気,сайн,げんき
早い,хурдан,はやい
速い,хурдан,はやい
下手,ядуу,げしゅ
低い,бага,ひくい
暇,үнэгүй,ひま
広い,өргөн,ひろい
本当,Жинхнээсээ,ほんとう
欲しい,хүсэж байна,ほしい
細い,нимгэн,ほそい
色々,янз бүрийн,いろいろ
忙しい,завгүй,いそがしい
痛い,өвдөлт,いたい
嫌,үзэн ядах,いや
丈夫,бат бөх,じょうふ
上手,сайн,じょうて
辛い,Халуун ногоотой,つらい
軽い,гэрэл,かるい
可愛い,хөөрхөн,かわいい
結構,маш сайн,けっこう
黄色い,шар,きいろい
嫌い,Үзэн ядах,きらい
綺麗,хөөрхөн,きれい
汚い,бохир,きたない
暗い,харанхуй,くらい
黒い,хар,くろい
丸い,дугуй,まりい
真っ直ぐ,Чигээрээ,まっすぐ
不味い,амтгүй,まじい
短い,богино,みじかい
難しい,хэцүү,むずかしい
長い,урт,ながい
賑やか,завгүй,にぎやか
温い,дулаахан,ぬきい
美味しい,амттай,おいしい
重い,хүнд,おもい
面白い,сонирхолтой,おもしろい
多い,олон,おおい
大きい,том,おおきい
遅い,удаан,おそい
立派,зүгээр,りっぱ
寒い,Хүйтэн,さむい
狭い,нарийн,せまい
白い,цагаан,しろい
静か,чимээгүй,しずか
好き,Дуртай,すき
少ない,Цөөхөн,すくない
涼しい,сэрүүн,すずしい
多分,магадгүй,たぶん
大変,хэцүү,たいへん
大切,чухал,たいせつ
高い,өндөр,たかい
沢山,Лот,たくさん
楽しい,хөгжилтэй,たのしい
遠い,хол,とおい
詰まらない,бөглөрөөгүй,つまらない
冷たい,хүйтэн,つめたい
強い,хүчтэй,つよい
煩い,Чи надад саад болоод байна,わずらい
薄い,нимгэн,うすい
若い,залуу,わかい
悪い,муу,わるい
易しい,амархан,やさしい
安い,хямд,やすい
良い,сайн,よい
弱い,сул,よわい
有名,Алдартай,ゆうめい
